0.05313,0.164937,0.145339,0.178825,0.540257
0.084401,0.683071,0.071992,0.012247,0.228421
0.07404,0.172191,0.167484,0.588485,0.07417
0.087688,0.091737,0.504772,0.056986,0.344283
0.1686,0.242503,0.2224,0.038815,0.438351
0.043382,0.238227,0.095942,0.281024,0.429821
0.098286,0.150421,0.175775,0.025032,0.673981
0.07489,0.118292,0.224336,0.425965,0.234905
0.029037,0.258147,0.0822,0.240624,0.438719
0.042203,0.146402,0.072621,0.042936,0.808196
0.074265,0.07113,0.362355,0.010932,0.585677
0.094243,0.06938,0.161625,0.112895,0.650788
0.337295,0.166658,0.265962,0.213818,0.112421
0.077084,0.124568,0.031307,0.689642,0.132231
0.126775,0.039988,0.319147,0.41357,0.210554
0.222938,0.104937,0.089165,0.406219,0.22735
0.178205,0.149191,0.092494,0.17712,0.47412
0.109564,0.147932,0.198759,0.148508,0.524859
0.10355,0.069045,0.129563,0.006785,0.804597
0.059228,0.137889,0.048076,0.346661,0.487533
0.092061,0.068144,0.112486,0.517688,0.255317
0.064933,0.119152,0.091431,0.194633,0.604005
0.101966,0.31521,0.277409,0.110582,0.32157
0.053771,0.216358,0.068652,0.365143,0.33479
0.135111,0.067258,0.087833,0.606612,0.193323
0.114533,0.220036,0.197382,0.186946,0.346263
0.055773,0.177951,0.106074,0.630486,0.096433
0.047271,0.126698,0.087311,0.016277,0.826709
0.102522,0.717563,0.106707,0.048938,0.157207
0.111225,0.125681,0.02295,0.10508,0.703665
0.022607,0.009472,0.010834,0.952442,0.025907
0.119446,0.086671,0.131426,0.262371,0.466175
0.039191,0.092477,0.013194,0.852953,0.039777
0.049935,0.220826,0.140625,0.012355,0.715825
0.087656,0.188389,0.273155,0.31998,0.228245
0.117796,0.117717,0.200569,0.280318,0.36106
0.055686,0.014815,0.07987,0.81842,0.059973
0.194454,0.103837,0.139726,0.216343,0.419987
0.099925,0.198327,0.191612,0.274517,0.300285
0.365744,0.216951,0.189485,0.144008,0.183372
0.16549,0.013424,0.150231,0.290246,0.455226
